MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N6,83.93782383,16.06217617,162,31,193,Null_summary
N7,84.53038674,15.46961326,153,28,181,Null_summary
N8,80.66298343,19.33701657,146,35,181,Null_summary
N2,90.2027027,9.797297297,267,29,296,Null_summary
N3,100,0,271,0,271,Null_summary
N4,92.53731343,7.462686567,248,20,268,Null_summary
N5,93.07359307,6.926406926,215,16,231,Null_summary
N6,77.83783784,22.16216216,144,41,185,Null_summary
N7,89.44444444,10.55555556,161,19,180,Null_summary
N8,82.79569892,17.20430108,154,32,186,Null_summary
N2,89.80263158,10.19736842,273,31,304,Null_summary
N3,98.89705882,1.102941176,269,3,272,Null_summary
N4,90.60150376,9.398496241,241,25,266,Null_summary
N5,92.98245614,7.01754386,212,16,228,Null_summary
N6,85.05154639,14.94845361,165,29,194,Null_summary
N7,85.71428571,14.28571429,150,25,175,Null_summary
N8,81.7679558,18.2320442,148,33,181,Null_summary
N2,89.61038961,10.38961039,276,32,308,Null_summary
